"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 08, 2006","209.00","209.00","210.00","208.50","57.71K","0.97%"
"Sep 07, 2006","207.00","205.00","207.00","205.00","56.54K","0.98%"
"Sep 06, 2006","205.00","201.20","205.00","201.20","9.23K","0.99%"
"Sep 05, 2006","203.00","199.00","203.00","199.00","23.73K","2.78%"
"Sep 04, 2006","197.50","197.00","197.50","197.00","2.64K","0.25%"
"Sep 01, 2006","197.00","196.00","197.50","196.00","15.69K","-0.30%"
"Aug 31, 2006","197.60","197.00","197.60","197.00","21.32K","0.05%"
"Aug 30, 2006","197.50","195.10","198.50","195.10","62.32K","-0.25%"
"Aug 29, 2006","198.00","198.00","198.20","197.50","46.51K","-0.25%"
"Aug 28, 2006","198.50","200.00","200.00","198.50","16.75K","-0.25%"
"Aug 25, 2006","199.00","199.00","200.00","199.00","49.75K","-0.50%"
"Aug 24, 2006","200.00","197.00","200.10","197.00","88.67K","1.52%"
"Aug 23, 2006","197.00","197.00","197.00","196.90","12.20K","0.00%"
"Aug 22, 2006","197.00","197.00","197.00","197.00","1.90K","0.00%"
"Aug 18, 2006","197.00","197.00","197.00","197.00","2.53K","0.00%"
"Aug 17, 2006","197.00","193.10","197.00","193.10","16.39K","0.00%"
"Aug 16, 2006","197.00","195.00","198.50","195.00","15.75K","0.61%"
"Aug 15, 2006","195.80","194.90","195.80","194.90","34.51K","0.93%"
"Aug 11, 2006","194.00","194.90","194.90","191.00","5.01K","-0.46%"
"Aug 10, 2006","194.90","195.00","195.00","192.50","103.42K","-0.05%"
"Aug 09, 2006","195.00","192.00","195.00","192.00","134.61K","2.09%"
"Aug 08, 2006","191.00","189.90","191.00","189.90","15.49K","4.09%"
"Aug 07, 2006","183.50","180.70","183.50","180.70","9.89K","1.55%"
"Aug 03, 2006","180.70","180.60","180.70","180.60","14.26K","0.33%"
"Aug 02, 2006","180.10","180.00","181.50","180.00","7.02K","0.06%"
"Aug 01, 2006","180.00","180.00","180.00","180.00","0.10K","0.00%"
"Jul 31, 2006","180.00","181.00","181.00","180.00","8.35K","-0.83%"
"Jul 28, 2006","181.50","180.60","181.50","180.60","13.77K","0.50%"
"Jul 27, 2006","180.60","180.10","180.60","180.10","35.84K","0.06%"
"Jul 26, 2006","180.50","180.00","180.50","180.00","18.61K","-1.10%"
"Jul 25, 2006","182.50","180.00","182.50","180.00","5.66K","0.55%"
"Jul 24, 2006","181.50","181.50","181.50","181.50","1.18K","-1.09%"
