"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 27, 2010","703.00","703.00","703.00","703.00","0.03K","0.00%"
"Jan 22, 2010","703.00","718.00","718.00","703.00","0.16K","3.23%"
"Jan 21, 2010","681.00","701.00","701.00","681.00","0.11K","-3.13%"
"Jan 20, 2010","703.00","703.00","703.00","703.00","0.02K","-0.42%"
"Jan 18, 2010","706.00","706.00","706.00","706.00","0.00K","0.71%"
"Jan 13, 2010","701.00","701.00","701.00","701.00","0.03K","-3.84%"
"Jan 08, 2010","729.00","726.00","729.00","726.00","0.14K","5.96%"
"Jan 06, 2010","688.00","688.00","688.00","688.00","0.09K","5.85%"
"Dec 31, 2009","650.00","730.00","732.00","650.00","6.36K","-5.93%"
"Dec 30, 2009","691.00","715.00","740.00","691.00","2.41K","-5.21%"
"Dec 29, 2009","729.00","729.00","729.00","729.00","6.40K","4.14%"
"Dec 25, 2009","700.00","739.00","739.00","700.00","0.68K","-5.15%"
"Dec 21, 2009","738.00","738.00","738.00","738.00","233.48K","-0.27%"
"Dec 17, 2009","740.00","710.00","740.00","710.00","0.06K","-1.20%"
"Dec 16, 2009","749.00","744.00","749.00","744.00","0.43K","0.67%"
"Dec 15, 2009","744.00","744.00","744.00","744.00","0.05K","0.68%"
"Dec 11, 2009","739.00","716.00","739.00","710.00","0.57K","-0.14%"
"Dec 10, 2009","740.00","720.00","740.00","720.00","0.13K","2.78%"
"Dec 07, 2009","720.00","720.00","720.00","720.00","0.03K","-1.37%"
"Dec 04, 2009","730.00","740.00","740.00","720.00","1.14K","-1.35%"
"Dec 03, 2009","740.00","730.00","740.00","730.00","1.92K","1.09%"
"Dec 02, 2009","732.00","768.00","768.00","732.00","0.10K","-1.21%"
"Dec 01, 2009","741.00","741.00","741.00","741.00","0.03K","-3.64%"
"Nov 25, 2009","769.00","769.00","769.00","769.00","0.00K","0.00%"
"Nov 24, 2009","769.00","769.00","769.00","769.00","0.01K","0.13%"
"Nov 20, 2009","768.00","768.00","768.00","768.00","0.03K","0.00%"
"Nov 16, 2009","768.00","768.00","768.00","768.00","0.01K","3.78%"
"Nov 13, 2009","740.00","740.00","740.00","740.00","0.05K","0.00%"
"Nov 12, 2009","740.00","740.00","740.00","740.00","0.05K","0.00%"
"Nov 11, 2009","740.00","740.00","740.00","740.00","0.01K","0.54%"
"Nov 10, 2009","736.00","770.00","770.00","736.00","0.22K","0.00%"
"Nov 09, 2009","736.00","774.00","774.00","735.00","0.01K","0.68%"
"Nov 04, 2009","731.00","731.00","731.00","731.00","0.01K","-5.06%"
"Oct 30, 2009","770.00","771.00","771.00","770.00","0.10K","-1.91%"
"Oct 29, 2009","785.00","785.00","785.00","785.00","0.05K","0.64%"
