"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 12, 2011","263.50","255.00","265.00","255.00","242.92K","1.74%"
"Jan 10, 2011","259.00","255.00","259.00","253.75","11.75K","1.97%"
"Jan 07, 2011","254.00","251.25","255.00","251.25","58.97K","-1.55%"
"Jan 06, 2011","258.00","254.80","258.00","250.00","19.97K","3.20%"
"Jan 05, 2011","250.00","249.00","255.00","249.00","14.90K","1.13%"
"Jan 04, 2011","247.20","249.00","249.00","245.40","11.61K","0.08%"
"Jan 03, 2011","247.00","246.00","254.00","246.00","12.61K","-5.36%"
"Dec 31, 2010","261.00","262.00","263.00","247.00","263.97K","1.77%"
"Dec 30, 2010","256.45","240.00","256.45","239.00","134.19K","5.99%"
"Dec 29, 2010","241.95","238.05","241.95","237.00","18.23K","2.09%"
"Dec 28, 2010","237.00","240.00","240.00","237.00","19.66K","-1.25%"
"Dec 27, 2010","240.00","238.10","244.95","238.10","35.02K","-0.62%"
"Dec 24, 2010","241.50","248.00","248.00","241.50","9.21K","-1.43%"
"Dec 23, 2010","245.00","246.00","246.00","240.00","8.93K","0.82%"
"Dec 22, 2010","243.00","242.00","244.00","242.00","38.40K","0.39%"
"Dec 21, 2010","242.05","246.00","246.00","242.05","8.76K","0.02%"
"Dec 20, 2010","242.00","240.10","246.90","239.00","110.33K","-1.18%"
"Dec 17, 2010","244.90","238.00","244.90","238.00","18.02K","4.12%"
"Dec 16, 2010","235.20","240.00","240.05","235.00","11.04K","-1.18%"
"Dec 15, 2010","238.00","249.00","249.00","238.00","68.38K","-3.84%"
"Dec 14, 2010","247.50","256.00","256.00","246.00","23.49K","-1.81%"
"Dec 13, 2010","252.05","258.00","258.85","250.05","8.44K","-0.40%"
"Dec 10, 2010","253.05","267.90","274.00","252.55","91.77K","-3.73%"
"Dec 09, 2010","262.85","253.10","262.85","253.10","58.29K","5.99%"
"Dec 08, 2010","248.00","234.00","248.00","234.00","37.90K","5.98%"
"Dec 06, 2010","234.00","236.30","236.45","233.00","5.79K","0.00%"
"Dec 03, 2010","234.00","236.00","236.00","234.00","31.97K","-0.04%"
"Dec 02, 2010","234.10","230.05","236.70","230.05","23.56K","0.04%"
"Dec 01, 2010","234.00","229.00","234.90","229.00","3.20K","0.00%"
"Nov 30, 2010","234.00","234.00","234.00","234.00","0.10K","0.21%"
"Nov 29, 2010","233.50","226.10","233.50","226.10","48.82K","1.30%"
"Nov 26, 2010","230.50","235.85","235.85","230.00","7.74K","-0.43%"
"Nov 25, 2010","231.50","233.00","237.80","231.20","3.33K","-0.86%"
"Nov 24, 2010","233.50","235.10","235.50","233.50","4.50K","-1.81%"
"Nov 23, 2010","237.80","236.00","238.00","236.00","5.48K","-0.08%"
"Nov 22, 2010","238.00","232.00","238.00","231.10","35.86K","2.15%"
"Nov 19, 2010","233.00","231.00","234.00","231.00","8.34K","0.87%"
"Nov 16, 2010","231.00","233.90","233.90","231.00","4.30K","-1.24%"
"Nov 15, 2010","233.90","230.15","234.00","230.15","3.03K","0.82%"
"Nov 12, 2010","232.00","230.10","233.90","230.10","6.13K","0.00%"
"Nov 11, 2010","232.00","229.75","232.00","229.75","1.74K","0.00%"
"Nov 10, 2010","232.00","232.00","232.00","230.30","2.70K","0.09%"
"Nov 09, 2010","231.80","229.20","231.80","229.20","11.42K","0.35%"
"Nov 08, 2010","231.00","232.00","232.00","229.20","7.87K","-0.86%"
"Nov 05, 2010","233.00","232.75","233.00","229.15","1.00K","0.11%"
"Nov 04, 2010","232.75","227.50","232.75","227.50","6.70K","2.06%"
"Nov 03, 2010","228.05","232.00","232.00","228.05","0.50K","-2.12%"
"Nov 02, 2010","233.00","227.50","233.00","227.50","4.91K","0.43%"
"Nov 01, 2010","232.00","230.30","233.50","230.00","4.73K","0.00%"
"Oct 29, 2010","232.00","233.00","234.00","231.50","9.16K","0.43%"
"Oct 28, 2010","231.00","229.00","232.80","229.00","20.33K","-1.16%"
"Oct 27, 2010","233.70","233.80","233.80","232.20","3.45K","0.73%"
"Oct 26, 2010","232.00","232.55","233.00","232.00","1.63K","-1.28%"
"Oct 25, 2010","235.00","232.60","235.00","232.60","11.04K","0.95%"
"Oct 22, 2010","232.80","232.40","234.00","232.40","1.64K","-0.51%"
"Oct 21, 2010","234.00","232.00","234.90","232.00","14.07K","0.58%"
"Oct 20, 2010","232.65","231.60","235.00","231.60","15.76K","0.06%"
"Oct 19, 2010","232.50","232.00","233.00","231.50","9.48K","-0.21%"
"Oct 18, 2010","233.00","232.50","233.00","231.20","0.25K","0.22%"
"Oct 15, 2010","232.50","233.00","233.00","232.50","4.08K","-0.62%"
"Oct 14, 2010","233.95","233.95","233.95","233.90","0.16K","-0.02%"
"Oct 13, 2010","234.00","228.00","234.00","228.00","6.84K","1.74%"
"Oct 12, 2010","230.00","228.50","233.00","228.50","2.40K","1.03%"
"Oct 11, 2010","227.65","234.50","234.50","227.00","0.50K","-2.21%"
"Oct 08, 2010","232.80","230.00","233.40","230.00","1.32K","0.13%"
"Oct 07, 2010","232.50","233.85","234.45","229.10","3.75K","1.53%"
"Oct 06, 2010","229.00","232.00","234.50","226.10","46.51K","0.44%"
"Oct 05, 2010","228.00","232.00","234.00","228.00","21.35K","-3.39%"
"Oct 04, 2010","236.00","231.05","236.00","231.05","1.55K","0.85%"
"Oct 01, 2010","234.00","234.60","237.90","232.00","9.75K","0.00%"
"Sep 30, 2010","234.00","230.10","234.60","230.00","30.29K","0.86%"
"Sep 29, 2010","232.00","232.50","232.50","229.00","12.77K","0.91%"
"Sep 28, 2010","229.90","228.00","229.90","227.10","19.07K","0.39%"
"Sep 27, 2010","229.00","226.00","232.00","226.00","3.67K","1.33%"
"Sep 24, 2010","226.00","230.00","230.00","225.20","57.07K","-0.90%"
"Sep 23, 2010","228.05","228.05","230.95","228.00","5.91K","-1.02%"
